Area,Kernel L,Kernel W,Groove L,Species
19.15,6.245,3.815,6.185,Rosa
18.89,6.227,3.769,5.966,Rosa
20.03,6.493,3.857,6.32,Rosa
20.24,6.315,3.962,6.188,Rosa
18.14,6.059,3.563,6.011,Rosa
16.17,5.762,3.387,5.703,Rosa
18.43,5.98,3.771,5.905,Rosa
15.99,5.363,3.582,5.144,Rosa
18.75,6.111,3.869,5.992,Rosa
18.65,6.285,3.594,6.102,Rosa
17.98,5.979,3.687,5.919,Rosa
20.16,6.513,3.773,6.185,Rosa
17.55,5.791,3.69,5.661,Rosa
18.3,5.979,3.755,5.962,Rosa
18.94,6.144,3.825,5.949,Rosa
15.38,5.884,3.268,5.795,Rosa
16.16,5.845,3.395,5.795,Rosa
15.56,5.776,3.408,5.847,Rosa
15.38,5.477,3.465,5.439,Rosa
17.36,6.145,3.574,5.971,Rosa
15.57,5.92,3.231,5.879,Rosa
15.6,5.832,3.286,5.752,Rosa
16.23,5.872,3.472,5.922,Rosa
13.07,5.472,2.994,5.395,Canadian
13.32,5.541,3.073,5.44,Canadian
13.34,5.389,3.074,5.307,Canadian
12.22,5.224,2.967,5.221,Canadian
11.82,5.314,2.777,5.178,Canadian
11.21,5.279,2.687,5.275,Canadian
11.43,5.176,2.719,5.132,Canadian
12.49,5.267,2.967,5.002,Canadian
12.7,5.386,2.911,5.316,Canadian
10.79,5.317,2.648,5.194,Canadian
11.83,5.263,2.84,5.307,Canadian
12.01,5.405,2.776,5.27,Canadian
12.26,5.408,2.833,5.36,Canadian
11.18,5.22,2.693,5.001,Canadian
11.36,5.175,2.755,5.263,Canadian
11.19,5.25,2.675,5.219,Canadian
11.34,5.053,2.849,5.003,Canadian
12.13,5.394,2.745,5.22,Canadian
11.75,5.444,2.678,5.31,Canadian
11.49,5.304,2.695,5.31,Canadian
12.54,5.451,2.879,5.491,Canadian
12.02,5.35,2.81,5.308,Canadian
12.05,5.267,2.847,5.046,Canadian
12.55,5.333,2.968,5.176,Canadian
11.14,5.011,2.794,5.049,Canadian
12.1,5.105,2.941,5.056,Canadian
12.44,5.319,2.897,5.27,Canadian
12.15,5.417,2.837,5.338,Canadian
11.35,5.176,2.668,5.132,Canadian
11.24,5.09,2.715,5.088,Canadian
11.02,5.325,2.701,5.163,Canadian
11.55,5.167,2.845,4.956,Canadian
11.27,5.088,2.763,5,Canadian
11.4,5.136,2.763,5.089,Canadian
10.83,5.278,2.641,5.185,Canadian
10.8,4.981,2.821,5.063,Canadian
11.26,5.186,2.71,5.092,Canadian
10.74,5.145,2.642,4.963,Canadian
11.48,5.18,2.758,5.002,Canadian
12.21,5.357,2.893,5.178,Canadian
11.41,5.09,2.775,4.825,Canadian
12.46,5.236,3.017,5.147,Canadian
12.19,5.24,2.909,5.158,Canadian
11.65,5.108,2.85,5.135,Canadian
12.89,5.495,3.026,5.316,Canadian
11.56,5.363,2.683,5.182,Canadian
11.81,5.413,2.716,5.352,Canadian
10.91,5.088,2.675,4.956,Canadian
11.23,5.089,2.821,4.957,Canadian
10.59,4.899,2.787,4.794,Canadian
10.93,5.046,2.717,5.045,Canadian
11.27,5.091,2.804,5.001,Canadian
11.87,5.132,2.953,5.132,Canadian
10.82,5.18,2.63,5.089,Canadian
12.11,5.236,2.975,5.012,Canadian
12.8,5.16,3.126,4.914,Canadian
12.79,5.224,3.054,4.958,Canadian
13.37,5.32,3.128,5.091,Canadian
12.62,5.41,2.911,5.231,Canadian
12.76,5.073,3.155,4.83,Canadian
12.38,5.219,2.989,5.045,Canadian
12.67,4.984,3.135,4.745,Canadian
11.18,5.009,2.81,4.828,Canadian
12.7,5.183,3.091,5,Canadian
12.37,5.204,2.96,5.001,Canadian
12.19,5.137,2.981,4.87,Canadian
11.23,5.14,2.795,5.003,Canadian
13.2,5.236,3.232,5.056,Canadian
11.84,5.175,2.836,5.044,Canadian
12.3,5.243,2.974,5.063,Canadian
